Date time,Local date time,Purpose,Amount (BTC),* Exchange rate,Amount (USD)
2021-05-17 00:00:00 GMT,2021-05-16 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000688,47299.34,-0.33
2021-05-18 00:00:00 GMT,2021-05-17 19:00:00 GMT-05:00,Hashpower mining,0.00035949,45983.02,16.53
2021-05-18 00:00:00 GMT,2021-05-17 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000720,45983.02,-0.33
2021-05-19 00:00:00 GMT,2021-05-18 19:00:00 GMT-05:00,Hashpower mining,0.00053805,43266.12,23.28
2021-05-19 00:00:00 GMT,2021-05-18 19:00:00 GMT-05:00,Hashpower mining fee,-0.00001076,43266.12,-0.47
2021-05-20 00:00:00 GMT,2021-05-19 19:00:00 GMT-05:00,Hashpower mining,0.00038914,42844.35,16.67
2021-05-20 00:00:00 GMT,2021-05-19 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000779,42844.35,-0.33
2021-05-21 00:00:00 GMT,2021-05-20 19:00:00 GMT-05:00,Hashpower mining,0.00028797,37732.93,10.87
2021-05-21 00:00:00 GMT,2021-05-20 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000576,37732.93,-0.22
2021-05-22 00:00:00 GMT,2021-05-21 19:00:00 GMT-05:00,Hashpower mining,0.00031437,40898.23,12.86
2021-05-22 00:00:00 GMT,2021-05-21 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000629,40898.23,-0.26
2021-05-23 00:00:00 GMT,2021-05-22 19:00:00 GMT-05:00,Hashpower mining,0.00033475,37016.00,12.39
2021-05-23 00:00:00 GMT,2021-05-22 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000669,37016.00,-0.25
2021-05-24 00:00:00 GMT,2021-05-23 19:00:00 GMT-05:00,Hashpower mining,0.00029403,37738.74,11.10
2021-05-24 00:00:00 GMT,2021-05-23 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000588,37738.74,-0.22
2021-05-25 00:00:00 GMT,2021-05-24 19:00:00 GMT-05:00,Hashpower mining,0.00028131,34771.29,9.78
2021-05-25 00:00:00 GMT,2021-05-24 19:00:00 GMT-05:00,Hashpower mining fee,-0.00000564,34771.29,-0.20
